1.000000000000000000e+02,-9.000000000000000000e+01,-9.000000000000000000e+01,0.000000000000000000e+00,1.573562622070312500e-05,1.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+01
1.947727272727272663e+01,7.790909090909096335e+01,-2.645454545454542483e+01,-1.043636363636363882e+02,2.791881561279296875e-04,3.303030303030297432e+00,2.484848484848484418e+00,8.515151515151513806e+00,5.727272727272727515e+00,-1.484848484848485750e+00,-4.272727272727272485e+00,6.696969696969702568e+00,7.515151515151515582e+00,1.484848484848486194e+00,4.272727272727272485e+00
1.752954545454544899e+01,7.011818181818185280e+01,-2.686228452772251529e+01,-9.698046634590437520e+01,2.598762512207031250e-04,3.358129179748417403e+00,2.517909657245106292e+00,8.173534786767671534e+00,5.606051505761364240e+00,-1.395933813199253803e+00,-3.935889424994768682e+00,5.915558490991038809e+00,6.663646476388043638e+00,1.395933813199254026e+00,3.935889424994768682e+00
1.577659090909090445e+01,6.310636363636366042e+01,-2.729427936050429793e+01,-9.040064299686795835e+01,4.286766052246093750e-04,3.415775561759951007e+00,2.553850387926135390e+00,7.813421415347947985e+00,5.476523662387773328e+00,-1.317843128676287945e+00,-3.633239224041380666e+00,5.222454867422821501e+00,5.902164705435335890e+00,1.317843128676288167e+00,3.633239224041380666e+00
1.419893181818181382e+01,5.679572727272731214e+01,-2.774875756925377601e+01,-8.454448484198108815e+01,3.890991210937500000e-04,3.475428894424386961e+00,2.592903274282960968e+00,7.437048979312119279e+00,5.338764557009686662e+00,-1.249539306913193482e+00,-3.361307545327520074e+00,4.609004079893487926e+00,5.221693704481425335e+00,1.249539306913193482e+00,3.361307545327520074e+00
1.277903863636363369e+01,5.111615454545456316e+01,-2.822327844170454725e+01,-7.933943298715911396e+01,1.885890960693359375e-04,3.536389993598010761e+00,2.635332118428623360e+00,7.047385795152678156e+00,5.192945769544738077e+00,-1.190054820677410197e+00,-3.116984883345486512e+00,4.067258986732538162e+00,4.614079408045792086e+00,1.190054820677410197e+00,3.116984883345486512e+00
1.150113477272726925e+01,4.600453909090911964e+01,-2.871479328282798349e+01,-7.471933237373710313e+01,2.126693725585937500e-04,3.597811148272958004e+00,2.681434385365798700e+00,6.648075487903594372e+00,5.039320080995440598e+00,-1.138478761363110880e+00,-2.897497823774554782e+00,3.589891630590110072e+00,4.071953170275330436e+00,1.138478761363110880e+00,2.897497823774554782e+00
1.035102129545454197e+01,4.140408518181820341e+01,-2.921976947340519359e+01,-7.062385465522339700e+01,2.045631408691406250e-04,3.658723221946286852e+00,2.731538340918440166e+00,6.243307208431668975e+00,4.878200096216829706e+00,-1.093947199442959484e+00,-2.700388476566757401e+00,3.170124473781555707e+00,3.588671352019433325e+00,1.093947199442959484e+00,2.700388476566757401e+00
9.315919165909088306e+00,3.726367666363636744e+01,-2.973436855599617701e+01,-6.699804521963254444e+01,2.505779266357421875e-04,3.718080195349579231e+00,2.785991894812069880e+00,5.837615233627950317e+00,4.709936015026278788e+00,-1.055637496598838654e+00,-2.523494308690527710e+00,2.801681791684721645e+00,3.158263610578732283e+00,1.055637496598838654e+00,2.523494308690527710e+00
8.384327249318179298e+00,3.353730899727273851e+01,-3.025465449029208287e+01,-6.379196348756482138e+01,2.324581146240234375e-04,3.774818412536982137e+00,2.845140606901793934e+00,5.435626723511487235e+00,4.534900373659427331e+00,-1.022766812085886823e+00,-2.364925651784872684e+00,2.478759712214307687e+00,2.775384927741518570e+00,1.022766812085886823e+00,2.364925651784872684e+00
7.545894524386360658e+00,3.018357809754546395e+01,-3.077679789598555971e+01,-6.096037599353102365e+01,1.726150512695312500e-04,3.827924659484837733e+00,2.909293649640343649e+00,5.041789403295111605e+00,4.353488041234472306e+00,-9.945945094461662306e-01,-2.223038622153288291e+00,2.196011169384120443e+00,2.435266263198908820e+00,9.945945094461662306e-01,2.223038622153288291e+00
6.791305071947725480e+00,2.716522028779091613e+01,-3.129724034129021959e+01,-5.846246062908113572e+01,3.366470336914062500e-04,3.876505083575869204e+00,2.978678730852718726e+00,4.660117120415206315e+00,4.166137454718691124e+00,-9.704276037855792403e-01,-2.096402322536696783e+00,1.948540341464594094e+00,2.133659852644552046e+00,9.704276037855792403e-01,2.096402322536696783e+00
6.112174564752953287e+00,2.444869825901182026e+01,-3.181279164736351817e+01,-5.626148990637533842e+01,2.548694610595703125e-04,3.919846484023887800e+00,3.053389806811020346e+00,4.293987966258510980e+00,3.973373902354069731e+00,-9.496279567373288044e-01,-1.983760800303962402e+00,1.731900583990607645e+00,1.866777514082582634e+00,9.496279567373288044e-01,1.983760800303962402e+00
